Sentence,Label
Nathalie is not blue.,fact
Gabriel is concerned.,fact
Nathalie is not concerned.,fact
Baird is concerned.,fact
Baird is serious.,fact
Quinlan is not entire.,fact
John is not fresh.,fact
John is blue.,fact
Gabriel is serious.,fact
Arthur is serious.,fact
Gabriel is not entire.,fact
Nathalie is not accurate.,fact
"If there is someone who is either not concerned or fresh, then John is entire.",implication
Someone who is eithor not fresh or entire is always not serious.,implication
"If John is not serious and Quinlan is fresh, then Baird is not entire.",implication
"If Gabriel is not serious, then Quinlan is not blue and Gabriel is accurate.",implication
"If Nathalie is not blue, then Collier is entire.",implication
"If someone is fresh or he is not concerned, then he is not blue.",implication
"If there is someone who is both serious and fresh, then Baird is not blue.",implication
Nathalie being not fresh and Baird being serious imply that Nathalie is blue.,implication
"If there is at least one people who is both not accurate and entire, then Collier is serious.",implication
It can be concluded that Gabriel is concerned once knowing that Baird is not blue.,implication
Baird is not serious.,negation
Collier is not serious.,negation
Quinlan is not blue.,negation
John is not entire.,negation
John is not blue.,negation
Gabriel is not entire.,negation
John is not fresh.,negation
Gabriel is not blue.,negation
Collier is not entire.,negation
Gabriel is not serious.,negation
Jerry is not excited.,fact
Lloyd is not excited.,fact
Jed is not courteous.,fact
Harris is various.,fact
Lloyd is not timid.,fact
Hope is various.,fact
Lloyd is not disgusted.,fact
Hope is excited.,fact
Harris is timid.,fact
Harris is not disgusted.,fact
Jonathan is disgusted.,fact
Jonathan is excited.,fact
"If there is at least one people who is various, then Jonathan is not elderly and Vera is disgusted.",implication
"If there is at least one people who is both not excited and not timid, then Jonathan is elderly.",implication
It can be concluded that Jerry is disgusted once knowing that Lloyd is timid and Lloyd is various.,implication
"If someone is not excited, then he is not disgusted.",implication
"If there is at least one people who is not courteous, then Harris is elderly.",implication
"If Jerry is courteous and Jerry is disgusted, then Vera is not elderly.",implication
"If there is someone who is either timid or not elderly, then Jonathan is not various.",implication
Someone who is both not disgusted and courteous is always elderly.,implication
"If there is at least one people who is either not disgusted or not elderly, then Harris is not timid and Jed is not various.",implication
Harris being various implies that Vera is elderly and Lloyd is timid.,implication
Harris is not excited.,negation
Jonathan is not disgusted.,negation
Jerry is not excited.,negation
Jed is not elderly.,negation
Harris is not various.,negation
Vera is not timid.,negation
Lloyd is not excited.,negation
Lloyd is not timid.,negation
